Time,Electricity_load
2011-01-01 00:15:00,5.98
2011-01-01 00:30:00,8.45
2011-01-01 00:45:00,9.93
2011-01-01 01:00:00,6.92
2011-01-01 01:15:00,5.9
2011-01-01 01:30:00,7.01
2011-01-01 01:45:00,5.73
2011-01-01 02:00:00,6.86
2011-01-01 02:15:00,7.58
2011-01-01 02:30:00,6.93
2011-01-01 02:45:00,7.33
2011-01-01 03:00:00,6.13
2011-01-01 03:15:00,5.84
2011-01-01 03:30:00,8.66
2011-01-01 03:45:00,6.8
2011-01-01 04:00:00,7.45
2011-01-01 04:15:00,5.06
2011-01-01 04:30:00,8.95
2011-01-01 04:45:00,5.27
2011-01-01 05:00:00,6.19
2011-01-01 05:15:00,6.6
2011-01-01 05:30:00,9.59
2011-01-01 05:45:00,6.93
2011-01-01 06:00:00,7.6
2011-01-01 06:15:00,11.29
2011-01-01 06:30:00,11.04
2011-01-01 06:45:00,11.63
2011-01-01 07:00:00,10.82
2011-01-01 07:15:00,14.42
2011-01-01 07:30:00,9.92
2011-01-01 07:45:00,14.63
2011-01-01 08:00:00,12.76
2011-01-01 08:15:00,10.01
2011-01-01 08:30:00,14.98
2011-01-01 08:45:00,10.7
2011-01-01 09:00:00,10.99
2011-01-01 09:15:00,12.38
2011-01-01 09:30:00,12.62
2011-01-01 09:45:00,12.92
2011-01-01 10:00:00,12.38
2011-01-01 10:15:00,12.87
2011-01-01 10:30:00,10.79
2011-01-01 10:45:00,9.97
2011-01-01 11:00:00,14.57
2011-01-01 11:15:00,15.84
2011-01-01 11:30:00,17.49
2011-01-01 11:45:00,19.41
2011-01-01 12:00:00,15.33
2011-01-01 12:15:00,13.95
2011-01-01 12:30:00,19.2
2011-01-01 12:45:00,18.96
2011-01-01 13:00:00,19.78
2011-01-01 13:15:00,14.55
2011-01-01 13:30:00,17.7
2011-01-01 13:45:00,13.55
2011-01-01 14:00:00,14.86
2011-01-01 14:15:00,20.38
2011-01-01 14:30:00,19.01
2011-01-01 14:45:00,15.58
2011-01-01 15:00:00,20.17
2011-01-01 15:15:00,17.07
2011-01-01 15:30:00,15.59
2011-01-01 15:45:00,16.38
2011-01-01 16:00:00,14.77
2011-01-01 16:15:00,14.96
2011-01-01 16:30:00,19.19
2011-01-01 16:45:00,16.73
2011-01-01 17:00:00,26.21
2011-01-01 17:15:00,19.8
2011-01-01 17:30:00,25.12
2011-01-01 17:45:00,26.05
2011-01-01 18:00:00,22.08
2011-01-01 18:15:00,18.21
2011-01-01 18:30:00,22.96
2011-01-01 18:45:00,19.66
2011-01-01 19:00:00,19.87
2011-01-01 19:15:00,24.17
2011-01-01 19:30:00,21.59
2011-01-01 19:45:00,24.45
2011-01-01 20:00:00,25.15
2011-01-01 20:15:00,24.99
2011-01-01 20:30:00,18.31
2011-01-01 20:45:00,24.96
2011-01-01 21:00:00,22.13
2011-01-01 21:15:00,23.69
2011-01-01 21:30:00,23.77
2011-01-01 21:45:00,24.64
2011-01-01 22:00:00,18.34
2011-01-01 22:15:00,22.41
2011-01-01 22:30:00,25.48
2011-01-01 22:45:00,26.27
2011-01-01 23:00:00,28.29
2011-01-01 23:15:00,31.66
2011-01-01 23:30:00,27.62
2011-01-01 23:45:00,26.99
2011-01-02 00:00:00,23.59
2011-01-02 00:15:00,30.22
2011-01-02 00:30:00,31.37
2011-01-02 00:45:00,30.89
2011-01-02 01:00:00,27.51
2011-01-02 01:15:00,23.28
2011-01-02 01:30:00,30.18
2011-01-02 01:45:00,29.7
2011-01-02 02:00:00,24.97
2011-01-02 02:15:00,27.83
2011-01-02 02:30:00,26.61
2011-01-02 02:45:00,30.65
2011-01-02 03:00:00,29.55
2011-01-02 03:15:00,30.87
2011-01-02 03:30:00,28.38
2011-01-02 03:45:00,23.02
2011-01-02 04:00:00,25.02
2011-01-02 04:15:00,26.51
2011-01-02 04:30:00,27.5
2011-01-02 04:45:00,24.4
2011-01-02 05:00:00,28.91
2011-01-02 05:15:00,28.81
2011-01-02 05:30:00,26.31
2011-01-02 05:45:00,24.88
2011-01-02 06:00:00,23.94
2011-01-02 06:15:00,27.39
2011-01-02 06:30:00,28.49
2011-01-02 06:45:00,23.43
2011-01-02 07:00:00,26.19
2011-01-02 07:15:00,28.0
2011-01-02 07:30:00,29.9
2011-01-02 07:45:00,26.06
2011-01-02 08:00:00,26.03
2011-01-02 08:15:00,25.54
2011-01-02 08:30:00,25.71
2011-01-02 08:45:00,27.96
2011-01-02 09:00:00,28.46
2011-01-02 09:15:00,24.79
2011-01-02 09:30:00,23.42
2011-01-02 09:45:00,27.42
2011-01-02 10:00:00,28.53
2011-01-02 10:15:00,24.54
2011-01-02 10:30:00,23.32
2011-01-02 10:45:00,27.54
2011-01-02 11:00:00,30.11
2011-01-02 11:15:00,23.44
2011-01-02 11:30:00,29.3
2011-01-02 11:45:00,26.46
2011-01-02 12:00:00,28.87
2011-01-02 12:15:00,27.69
2011-01-02 12:30:00,25.95
2011-01-02 12:45:00,26.92
